UTC,Latitude,Longitude,species,call,end,DriftName,gpsUncertainty,DataQuality
2016-09-03 09:57:18 UTC,31.23767353,-122.4355399,Gg,Clicks,2016-09-03 10:25:03 UTC,PASCAL_007,76.84187155,compromised
2016-09-05 13:50:46 UTC,31.00823491,-122.2154405,Gg,Clicks,2016-09-05 14:21:47 UTC,PASCAL_007,32.13007849,compromised
2016-09-10 12:09:08 UTC,30.50967219,-122.3355391,Gg,Clicks,2016-09-10 12:32:38 UTC,PASCAL_007,79.79030966,compromised
2016-08-30 13:28:12 UTC,33.76696977,-126.1023644,Gg,Clicks,2016-08-30 14:53:58 UTC,PASCAL_008,9.662057254,compromised
2016-09-03 13:24:07 UTC,33.73763656,-126.1378703,Gg,Clicks,2016-09-03 14:12:58 UTC,PASCAL_008,15.99515792,compromised
2016-09-04 04:40:17 UTC,33.72715921,-126.0823858,Gg,Clicks,2016-09-04 05:21:52 UTC,PASCAL_008,25.14732087,compromised
2016-09-05 04:16:22 UTC,33.74827841,-126.0200437,Gg,Clicks,2016-09-05 04:33:37 UTC,PASCAL_008,1.412215161,compromised
2016-09-05 07:12:07 UTC,33.75090875,-126.0225963,Gg,Clicks,2016-09-05 07:37:07 UTC,PASCAL_008,30.88731356,compromised
2016-08-30 08:22:32 UTC,36.48219815,-127.7166216,Gg,Clicks,2016-08-30 08:54:07 UTC,PASCAL_009,67.19226384,good
2016-08-30 11:22:42 UTC,36.47793665,-127.7299225,Gg,Clicks,2016-08-30 12:04:01 UTC,PASCAL_009,99.81530179,good
2016-09-04 17:02:57 UTC,36.6859151,-128.1218788,Gg,Clicks,2016-09-04 18:14:01 UTC,PASCAL_009,5.342172104,good
2016-09-05 16:43:16 UTC,36.59227644,-128.1608711,Gg,Clicks,2016-09-05 16:54:06 UTC,PASCAL_009,63.73785676,good
2016-08-28 12:50:58 UTC,39.27186433,-129.1927849,Gg,Clicks,2016-08-28 13:19:31 UTC,PASCAL_010,41.82758713,good
2016-08-30 07:28:18 UTC,39.28901323,-129.1332584,Gg,Clicks,2016-08-30 08:04:58 UTC,PASCAL_010,14.74065127,good
2016-08-30 23:15:23 UTC,39.29825392,-129.1160315,Gg,Clicks,2016-08-30 23:36:39 UTC,PASCAL_010,1.928783923,good
2016-09-03 06:10:07 UTC,39.26919969,-129.1334074,Gg,Clicks,2016-09-03 06:59:36 UTC,PASCAL_010,31.67281501,good
2016-09-08 05:48:17 UTC,39.29987601,-129.1941418,Gg,Clicks,2016-09-08 06:36:27 UTC,PASCAL_010,5.180667565,good
2016-09-10 10:03:22 UTC,39.31079962,-129.3668132,Gg,Clicks,2016-09-10 10:21:02 UTC,PASCAL_010,14.23883981,good
2016-09-11 03:51:57 UTC,39.30532792,-129.4408971,Gg,Clicks,2016-09-11 04:15:27 UTC,PASCAL_010,4.073626122,good
2016-09-13 06:20:52 UTC,39.22438825,-129.5950146,Gg,Clicks,2016-09-13 07:11:10 UTC,PASCAL_010,61.30890044,good
2016-09-13 08:15:38 UTC,39.22038419,-129.6018875,Gg,Clicks,2016-09-13 09:16:33 UTC,PASCAL_010,33.11137386,good
2016-09-14 07:18:27 UTC,39.20147617,-129.6789181,Gg,Clicks,2016-09-14 07:33:37 UTC,PASCAL_010,32.49634948,good
2016-08-30 09:31:53 UTC,45.27360729,-129.7329065,Gg,Clicks,2016-08-30 09:33:33 UTC,PASCAL_012,5.864338698,good
2016-09-14 04:12:08 UTC,45.25303195,-129.3045528,Gg,Clicks,2016-09-14 04:23:33 UTC,PASCAL_012,90.01482586,good
